,state,state_code
0,California,CA
1,Washington,WA
2,Arizona,AZ
10,Colorado,CO
14,Idaho,ID
20,Oregon,OR
33,Utah,UT
63,Nevada,NV
203,New Mexico,NM
1608,Texas,TX
3565,Indiana,IN
3566,Pennsylvania,PA
3567,Massachusetts,MA
3568,Ohio,OH
3570,Connecticut,CT
3571,Michigan,MI
3581,Rhode Island,RI
3591,Kentucky,KY
3628,New Hampshire,NH
3629,New York,NY
4883,Virginia,VA
4884,Georgia,GA
4885,North Carolina,NC
4887,Florida,FL
4889,South Carolina,SC
4892,New Jersey,NJ
4904,Maryland,MD
4925,District of Columbia,DC
6447,Nebraska,NE
6448,Oklahoma,OK
6450,Wisconsin,WI
6452,Illinois,IL
6454,Minnesota,MN
6458,Kansas,KS
6459,Missouri,MO
6460,Louisiana,LA
6462,Hawaii,HI
6465,Alabama,AL
6470,Tennessee,TN
6471,Arkansas,AR
6482,South Dakota,SD
6483,Alaska,AK
6488,Mississippi,MS
6494,Montana,MT
6495,Iowa,IA
6588,North Dakota,ND